clase,fpr,tpr,threshold,auc
Neutral,5.210232897410514e-05,0.13651776500073715,1.0,0.986121220035755
Neutral,5.210232897410514e-05,0.19814241486068113,0.99,0.986121220035755
Neutral,5.210232897410514e-05,0.23794781070322865,0.98,0.986121220035755
Neutral,0.00010420465794821029,0.2705292643373139,0.97,0.986121220035755
Neutral,0.00015630698692231543,0.2939702196668141,0.96,0.986121220035755
Neutral,0.00015630698692231543,0.3194751584844464,0.95,0.986121220035755
Neutral,0.00020840931589642057,0.34291611381394665,0.94,0.986121220035755
Neutral,0.00036471630281873597,0.36252395695120154,0.93,0.986121220035755
Neutral,0.00046892096076694626,0.38080495356037153,0.92,0.986121220035755
Neutral,0.0007294326056374719,0.3990859501695415,0.91,0.986121220035755
Neutral,0.0008336372635856823,0.4192835028748341,0.9,0.986121220035755
Neutral,0.0009378419215338925,0.43653250773993807,0.89,0.986121220035755
Neutral,0.0009378419215338925,0.45289694825298543,0.88,0.986121220035755
Neutral,0.0011983535664044183,0.4664602683178535,0.87,0.986121220035755
Neutral,0.0013546605533267338,0.47928645142267434,0.86,0.986121220035755
Neutral,0.0015630698692231542,0.4928497714875424,0.85,0.986121220035755
Neutral,0.00182358151409368,0.5071502285124576,0.84,0.986121220035755
Neutral,0.002136195487938311,0.5214506855373728,0.83,0.986121220035755
Neutral,0.002500911790757047,0.5358985699542975,0.82,0.986121220035755
Neutral,0.002813525764601678,0.5499041721951938,0.81,0.986121220035755
Neutral,0.0030740374094722035,0.5614035087719298,0.8,0.986121220035755
Neutral,0.00354295837023915,0.5724605631726375,0.79,0.986121220035755
Neutral,0.004063981659980201,0.5836650449653545,0.78,0.986121220035755
Neutral,0.0044286979627989375,0.597375792422232,0.77,0.986121220035755
Neutral,0.004949721252539989,0.6084328468229397,0.76,0.986121220035755
Neutral,0.005679153858177461,0.6215538847117794,0.75,0.986121220035755
Neutral,0.006148074818944407,0.6342326404245909,0.74,0.986121220035755
Neutral,0.006825405095607774,0.6449948400412797,0.73,0.986121220035755
Neutral,0.00739853071432293,0.6569364587940439,0.72,0.986121220035755
Neutral,0.007971656333038087,0.6679935131947515,0.71,0.986121220035755
Neutral,0.008753191267649663,0.6790505675954592,0.7,0.986121220035755
Neutral,0.009691033189183556,0.6906973315642047,0.69,0.986121220035755
Neutral,0.010316261136872819,0.7020492407489312,0.68,0.986121220035755
Neutral,0.010993591413536185,0.7122217307975822,0.67,0.986121220035755
Neutral,0.012296149637888814,0.7228365030222615,0.66,0.986121220035755
Neutral,0.013181889230448602,0.732124428718856,0.65,0.986121220035755
Neutral,0.013911321836086073,0.7414123544154504,0.64,0.986121220035755
Neutral,0.01479706142864586,0.7502579979360166,0.63,0.986121220035755
Neutral,0.015526494034283333,0.7602830605926582,0.62,0.986121220035755
Neutral,0.01641223362684312,0.7732566710894885,0.61,0.986121220035755
Neutral,0.017766894180169853,0.7823971693940734,0.6,0.986121220035755
Neutral,0.01912155473349659,0.791390240306649,0.59,0.986121220035755
Neutral,0.0202678059709269,0.8024472947073567,0.58,0.986121220035755
Neutral,0.02146615953733132,0.8115877930119416,0.57,0.986121220035755
Neutral,0.02287292241963216,0.8186643078283945,0.56,0.986121220035755
Neutral,0.0243317876309071,0.8260356774288663,0.55,0.986121220035755
Neutral,0.025217527223466887,0.8325224826772815,0.54,0.986121220035755
Neutral,0.026207471473974887,0.8422526905499041,0.53,0.986121220035755
Neutral,0.028187359974990882,0.8487394957983193,0.52,0.986121220035755
Neutral,0.02928150888344709,0.8556685832227627,0.51,0.986121220035755
Neutral,0.03131349971343719,0.8627450980392157,0.5,0.986121220035755
Neutral,0.033501797530349604,0.8702638950316969,0.49,0.986121220035755
Neutral,0.0354816860313656,0.8782249742002064,0.48,0.986121220035755
Neutral,0.037253165216485175,0.885891198584697,0.47,0.986121220035755
Neutral,0.03964987234929401,0.8929677134011499,0.46,0.986121220035755
Neutral,0.041473453863387695,0.8978328173374613,0.45,0.986121220035755
Neutral,0.043401240035429584,0.904172195193867,0.44,0.986121220035755
Neutral,0.04548533319439379,0.9091847265221878,0.43,0.986121220035755
Neutral,0.0476215286823321,0.9143446852425181,0.42,0.986121220035755
Neutral,0.05012244047308915,0.9208314904909333,0.41,0.986121220035755
Neutral,0.05225863596102746,0.9254017396432257,0.4,0.986121220035755
Neutral,0.05496795706768093,0.9307091257555654,0.39,0.986121220035755
Neutral,0.057729380503308496,0.9351319475158485,0.38,0.986121220035755
Neutral,0.06090762257072891,0.9398496240601504,0.37,0.986121220035755
Neutral,0.06335643203251186,0.9447147279964617,0.36,0.986121220035755
Neutral,0.06643046944198405,0.9491375497567448,0.35,0.986121220035755
Neutral,0.06919189287761163,0.9538552263010467,0.34,0.986121220035755
Neutral,0.07252644193195436,0.957688338493292,0.33,0.986121220035755
Neutral,0.07632991194706404,0.9603420315494618,0.32,0.986121220035755
Neutral,0.0801333819621737,0.96343800678166,0.31,0.986121220035755
Neutral,0.08279060073985307,0.9671236915818959,0.3,0.986121220035755
Neutral,0.08742770801854843,0.9705145215981129,0.29,0.986121220035755
Neutral,0.09128328036263221,0.9728733598702639,0.28,0.986121220035755
Neutral,0.0951909550356901,0.9750847707504054,0.27,0.986121220035755
Neutral,0.09977595998541135,0.9777384638065753,0.26,0.986121220035755
Neutral,0.10352732767154692,0.9789178829426507,0.25,0.986121220035755
Neutral,0.10868545823998332,0.9814241486068112,0.24,0.986121220035755
Neutral,0.11399989579534205,0.9826035677428866,0.23,0.986121220035755
Neutral,0.11921012869275256,0.9846675512310187,0.22,0.986121220035755
Neutral,0.12530610118272287,0.9868789621111602,0.21,0.986121220035755
Neutral,0.13124576668577084,0.9886480908152735,0.2,0.986121220035755
Neutral,0.13744594383368935,0.9896800825593395,0.19,0.986121220035755
Neutral,0.14421924660032304,0.9913017838714433,0.18,0.986121220035755
Neutral,0.15031521909029333,0.9924812030075187,0.17,0.986121220035755
Neutral,0.1580263637784609,0.9936606221435943,0.16,0.986121220035755
Neutral,0.16568540613765434,0.9951348960636887,0.15,0.986121220035755
Neutral,0.17485541603709687,0.9960194604157453,0.14,0.986121220035755
Neutral,0.18465065388422863,0.9969040247678018,0.13,0.986121220035755
Neutral,0.19486271036315322,0.9973463069438302,0.12,0.986121220035755
Neutral,0.2055436878028448,0.997641161727849,0.11,0.986121220035755
Neutral,0.2178919397697077,0.9979360165118679,0.1,0.986121220035755
Neutral,0.23013598707862243,0.9982308712958867,0.09,0.986121220035755
Neutral,0.24477674152034595,0.9982308712958867,0.08,0.986121220035755
Neutral,0.26181420309487835,0.9986731534719151,0.07,0.986121220035755
Neutral,0.2829156463293909,0.9992628630399528,0.06,0.986121220035755
Neutral,0.305736466420049,0.9992628630399528,0.05,0.986121220035755
Neutral,0.33470536132965145,0.9992628630399528,0.04,0.986121220035755
Neutral,0.3736779034022821,0.9995577178239717,0.03,0.986121220035755
Neutral,0.43000052102328973,0.9997051452159811,0.02,0.986121220035755
Neutral,0.5350388162350858,0.9998525726079905,0.01,0.986121220035755
Neutral,1.0,1.0,0.0,0.986121220035755
Satisfecho,0.0,0.0,inf,0.9931723635263459
Satisfecho,6.807351940095303e-05,0.4982278929647351,1.0,0.9931723635263459
