clase,precision,recall,threshold,average_precision
Satisfecho,0.873317061648689,0.9828105617579301,0.22,0.9920093354557589
Satisfecho,0.8780700364443036,0.982013113592061,0.23,0.9920093354557589
Satisfecho,0.8836169023084911,0.9801524012050328,0.24,0.9920093354557589
Satisfecho,0.8889157208403767,0.9784688995215312,0.25,0.9920093354557589
Satisfecho,0.893239299610895,0.9763423710792132,0.26,0.9920093354557589
Satisfecho,0.8976011749347258,0.9747474747474747,0.27,0.9920093354557589
Satisfecho,0.9015922521339461,0.9733297891192628,0.28,0.9920093354557589
Satisfecho,0.906544372830937,0.9720893141945773,0.29,0.9920093354557589
Satisfecho,0.9103448275862069,0.9707602339181286,0.3,0.9920093354557589
Satisfecho,0.9141519685697568,0.9689881268828637,0.31,0.9920093354557589
Satisfecho,0.9186300908784921,0.967304625199362,0.32,0.9920093354557589
Satisfecho,0.9227903826617,0.9657983342193869,0.33,0.9920093354557589
Satisfecho,0.9254631990481047,0.9648236753499911,0.34,0.9920093354557589
Satisfecho,0.929347361218031,0.9626971469076733,0.35,0.9920093354557589
Satisfecho,0.9334710388157329,0.9610136452241715,0.36,0.9920093354557589
Satisfecho,0.9364241847591039,0.9592415381889066,0.37,0.9920093354557589
Satisfecho,0.9395045632333768,0.9577352472089314,0.38,0.9920093354557589
Satisfecho,0.9434687636522499,0.9567605883395357,0.39,0.9920093354557589
Satisfecho,0.9467076382791922,0.955431508063087,0.4,0.9920093354557589
Satisfecho,0.9489777934437786,0.9541910331384016,0.41,0.9920093354557589
Satisfecho,0.9513532637537591,0.9530391635654794,0.42,0.9920093354557589
Satisfecho,0.9542384929802736,0.9515328725855041,0.43,0.9920093354557589
Satisfecho,0.9569911662353886,0.9502923976608187,0.44,0.9920093354557589
Satisfecho,0.9590538482214855,0.9484316852737905,0.45,0.9920093354557589
Satisfecho,0.9612961296129613,0.9463051568314726,0.46,0.9920093354557589
Satisfecho,0.9628893905191873,0.9448874712032607,0.47,0.9920093354557589
Satisfecho,0.9647229527523352,0.9425837320574163,0.48,0.9920093354557589
Satisfecho,0.9662389662389662,0.9408116250221513,0.49,0.9920093354557589
Satisfecho,0.9671652681503101,0.9395711500974658,0.5,0.9920093354557589
Satisfecho,0.9694027116159766,0.9376218323586745,0.51,0.9920093354557589
Satisfecho,0.9708586137157565,0.9357611199716462,0.52,0.9920093354557589
Satisfecho,0.9721427912554192,0.9338118022328549,0.53,0.9920093354557589
Satisfecho,0.9744515412385448,0.9327485380116959,0.54,0.9920093354557589
